session,vote_number,vote_question_text,member_full,vote_cast,vote_id,numerical_vote
2,187,On Passage of the Bill H.R. 3230,Udall (D-NM),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Vitter (R-LA),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Walsh (D-MT),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Warner (D-VA),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Warren (D-MA),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Whitehouse (D-RI),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Wicker (R-MS),Yea,2:187,2
2,187,On Passage of the Bill H.R. 3230,Wyden (D-OR),Yea,2:187,2
1,219,On Passage of the Bill H.R. 2775,Alexander (R-TN),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Ayotte (R-NH),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Baldwin (D-WI),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Barrasso (R-WY),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Baucus (D-MT),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Begich (D-AK),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Bennet (D-CO),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Blumenthal (D-CT),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Blunt (R-MO),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Boozman (R-AR),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Boxer (D-CA),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Brown (D-OH),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Burr (R-NC),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Cantwell (D-WA),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Cardin (D-MD),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Carper (D-DE),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Casey (D-PA),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Chambliss (R-GA),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Chiesa (R-NJ),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Coats (R-IN),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Coburn (R-OK),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Cochran (R-MS),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Collins (R-ME),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Coons (D-DE),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Corker (R-TN),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Cornyn (R-TX),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Crapo (R-ID),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Cruz (R-TX),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Donnelly (D-IN),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Durbin (D-IL),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Enzi (R-WY),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Feinstein (D-CA),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Fischer (R-NE),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Flake (R-AZ),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Franken (D-MN),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Gillibrand (D-NY),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Graham (R-SC),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Grassley (R-IA),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Hagan (D-NC),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Harkin (D-IA),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Hatch (R-UT),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Heinrich (D-NM),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Heitkamp (D-ND),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Heller (R-NV),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Hirono (D-HI),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Hoeven (R-ND),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Inhofe (R-OK),Not Voting,1:219,0
1,219,On Passage of the Bill H.R. 2775,Isakson (R-GA),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Johanns (R-NE),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Johnson (D-SD),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Johnson (R-WI),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Kaine (D-VA),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,King (I-ME),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Kirk (R-IL),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Klobuchar (D-MN),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Landrieu (D-LA),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Leahy (D-VT),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Lee (R-UT),Nay,1:219,1
1,219,On Passage of the Bill H.R. 2775,Levin (D-MI),Yea,1:219,2
1,219,On Passage of the Bill H.R. 2775,Manchin (D-WV),Yea,1:219,2
